Created Date,Query,Total Results
2024-03-26 13:06:37,kernel_gid,3
2024-03-26 12:09:56,jovyan,7
2024-03-25 15:52:09,buffer_offline_messages,0
2024-03-22 07:19:11,persist,0
2024-03-22 07:18:54,state,2
2024-03-21 02:25:48,environment,26
2024-03-21 02:25:23,envriment,0
2024-03-19 16:12:28,aarch64,0
2024-03-18 18:34:43,eg_min_port_range_size,1
2024-03-18 18:07:35,spark kubernetes,28
2024-03-18 10:46:00,kernel_namespace,2
2024-03-17 23:05:00,architecture,3
2024-03-14 21:17:06,kernel.json,11
2024-03-14 09:39:54,tolerations,1
2024-03-14 09:39:36,kernel_gid,3
2024-03-13 07:46:07,session,10
2024-03-13 05:27:38,kernel_extra_spark_opts,3
2024-03-13 05:14:45,provisioner,1
2024-03-12 05:21:25,kernel_extra_spark_opts,3
2024-03-12 05:21:18,kernel_spark_extra_opts,0
2024-03-11 22:34:15,stop sparksession,2
2024-03-11 10:30:22,kernel_launch_timeout,3
2024-03-09 09:41:06,kernel_volume,0
2024-03-09 06:33:34,eg_impersonation_enabled,2
2024-03-08 10:43:18,logo,1
2024-03-08 07:03:18,proxy-user,22
2024-03-07 13:25:19,jupyter_client,6
2024-03-07 10:47:34,elyra,9
2024-03-06 12:17:46,culling,4
2024-03-05 21:04:41,kernel_username,7
2024-03-05 07:46:55,rest,6
2024-03-05 01:36:18,install,10
2024-03-04 20:15:49,channels,2
2024-03-04 15:40:58,install,10
2024-03-04 14:25:34,eg_namespace,3
2024-03-04 13:06:58,iopub,0
2024-03-04 13:06:53,stream,0
2024-03-04 13:06:51,stram,0
2024-03-04 13:06:42,completion,3
2024-03-04 10:22:33,sparkui,0
2024-03-04 09:13:00,scala,9
2024-03-04 09:12:46,kernel,39
2024-03-04 07:59:40,eg_port,2
2024-03-04 07:59:02,port,9
2024-03-04 07:58:53,enterprise_gateway_port,0
2024-03-03 20:16:45,pod,9
2024-03-03 16:03:39,execution_state,1
2024-03-03 16:03:26,starting,7
2024-02-29 15:30:07,monitor,2
2024-02-29 15:22:28,metric,0
2024-02-28 21:17:08,https,9
2024-02-28 15:33:04,lsp,0
2024-02-28 10:29:28,zeromq,3
2024-02-28 07:14:09,eg_shared_namespace,3
2024-02-27 08:11:40,kernel,39
2024-02-26 19:22:18,max_kernel,0
2024-02-26 19:18:05,http_pwd,0
2024-02-26 19:16:47,max_kernel,0
2024-02-26 19:15:06,max_kernel,0
2024-02-26 04:46:44,processproxy,3
2024-02-26 01:25:25,app_cull_idle_timeout,0
