Created Date,Query,Total Results
2024-03-26 19:34:50,register,1
2024-03-25 16:15:25,windows 11,2
2024-03-25 16:15:13,installation,2
2024-03-22 10:15:41,path,2
2024-03-22 10:14:14,list,2
2024-03-22 10:14:01,kernelbase,0
2024-03-22 09:21:02,import,2
2024-03-21 20:05:49,ipykernel_14416,0
2024-03-21 17:54:17,install,3
2024-03-21 13:18:51,6.29.0,1
2024-03-19 18:42:25,kernelspec,2
2024-03-18 11:00:37,string methods,3
2024-03-13 16:08:30,install,3
2024-03-11 21:54:42,deprecation,2
2024-03-11 18:28:15,chnage pyhton version,4
2024-03-02 22:09:53,dir,0
2024-03-02 12:07:32,frozen_modules,1
2024-03-01 02:40:30,debug,2
2024-02-29 21:50:53,install,3
2024-02-29 09:26:55,depen,0
2024-02-29 06:24:29,widgets,1
2024-02-26 16:28:18,_clean_thread_parent_frames,0
2024-02-26 15:09:13,launch,1
2024-02-26 14:59:41,kernelapp,2
2024-02-26 14:59:33,launch_new,0
2024-02-23 10:13:55,comm,4
2024-02-22 16:32:50,brew,0
2024-02-22 16:32:47,homebrew,0
2024-02-22 16:32:43,homeberw,0
2024-02-22 10:21:19,terminate,0
2024-02-22 10:05:51,kill,2
2024-02-18 18:22:39,javascript,0
2024-02-18 18:22:31,java script,0
2024-02-16 17:14:53,sql,0
2024-02-15 15:58:01,launcher,1
2024-02-15 15:57:56,make_ipykernel_cmd,0
2024-02-15 15:57:47,make_ipkernel_cmd,1
2024-02-15 15:55:39,ipykernel_launcher,2
2024-02-14 16:01:06,install,3
2024-02-12 22:37:56,frozen,0
2024-02-12 04:10:39,kernel,7
2024-02-11 15:46:09,temp,2
2024-02-10 21:26:57,trio,2
2024-02-08 21:22:06,frame,1
2024-02-08 17:46:08,missig values,2
2024-02-08 17:45:42,simpleimputer,0
2024-02-08 17:45:03,sklearn.impute,0
2024-02-07 22:11:39,ipkernelapp,2
2024-02-05 18:11:17,connection_info,0
2024-02-05 18:11:16,connectiopn_info,0
2024-02-05 18:11:04,jupyter_session,0
2024-02-02 15:50:36,install,3
2024-02-02 07:19:18,install,3
2024-01-31 10:33:22,get_connection,0
2024-01-31 10:17:21,memory,1
2024-01-31 08:48:51,shell.push,0
2024-01-27 17:48:33,execute_request,4
2024-01-23 09:08:32,key,2
2024-01-23 07:45:29,display,2
2024-01-20 22:13:35,start,4
2024-01-17 16:38:44,input,4
2024-01-17 05:22:12,capture,2
2024-01-16 19:29:36,debug,2
2024-01-13 10:09:21,display,2
2024-01-12 01:33:55,no_stderr,2
2024-01-12 01:08:32,connection_file,2
2024-01-12 01:04:45,connection_dir,2
2024-01-11 00:49:54,config,2
2024-01-03 15:20:23,register_magics,0
2024-01-03 15:17:47,get_ipython,0
2024-01-03 05:38:19,history,3
2023-12-27 01:24:24,require,2
2023-12-27 01:24:09,requ,0
