Created Date,Query,Total Results
2024-03-26 17:19:00,execute_request,3
2024-03-26 13:01:03,crypto,0
2024-03-26 09:46:01,connection file,9
2024-03-25 18:15:26,kernel_providers,0
2024-03-25 04:46:22,msg_type,2
2024-03-23 09:40:55,on_msg,0
2024-03-23 09:40:50,on_message,0
2024-03-22 09:14:44,kernel_cmd,2
2024-03-22 09:09:50,kernel_cmd,2
2024-03-22 04:51:47,interact,1
2024-03-22 04:51:45,interactive,0
2024-03-22 00:22:57,rest api,7
2024-03-21 21:25:17,print,2
2024-03-21 13:12:01,memory,1
2024-03-21 08:33:46,logging,1
2024-03-21 04:26:09,connectionfilemixin,1
2024-03-20 20:13:17,message hook,9
2024-03-20 20:13:14,registermessagehook,0
2024-03-20 18:17:35,registercommtarget,0
2024-03-20 18:15:41,serverconnection,0
2024-03-20 18:15:34,makesettings,0
2024-03-20 08:55:59,execute_request,3
2024-03-20 08:42:47,session,7
2024-03-20 08:13:35,error,4
2024-03-20 08:13:31,errr,0
2024-03-19 21:32:43,continuous  beam,0
2024-03-19 21:32:17,continus beam,0
2024-03-19 21:31:51,cad beam,0
2024-03-19 21:22:24,registercommtarget,0
2024-03-19 21:22:04,"wrong widget protocol version: received protocol version '', but was expecting major version '2'",14
2024-03-19 21:03:03,kernelmanager,7
2024-03-18 17:53:49,kernel_deps,0
2024-03-18 08:52:43,kernel cmd stdout stderr,13
2024-03-18 08:51:54,kernel cmd,13
2024-03-18 08:51:34,kernel_cmd,2
2024-03-18 08:47:51,kernelmanager,7
2024-03-18 08:47:08,path,6
2024-03-18 05:11:44,jsonutil,1
2024-03-17 12:49:56,kernelconnection,0
2024-03-17 10:48:34,input,8
2024-03-17 10:09:55,load_connection_file,0
2024-03-16 22:20:20,kernelconnection,0
2024-03-16 22:19:25,connection,7
2024-03-16 20:00:07,tunnel_to_kernel,1
2024-03-16 11:43:56,kernelmanager,7
2024-03-16 04:59:28,auth_token,0
2024-03-15 02:13:00,get variable,7
2024-03-15 01:52:26,blockingkernelclient,3
2024-03-14 16:34:59,python,9
2024-03-14 16:34:50,schedule,0
2024-03-14 13:27:58,load_connection_file,0
2024-03-14 13:07:15,zeromq,3
2024-03-14 12:56:07,kernelspec,8
2024-03-14 12:55:09,server,3
2024-03-14 09:36:01,cannot reload,3
2024-03-14 09:20:24,language_info,3
2024-03-14 06:54:21,cannot find env,6
2024-03-14 02:37:56,execute_reply,3
2024-03-14 01:34:39,websocket,0
2024-03-13 08:41:08,msg_type,2
2024-03-13 01:39:43,r kernel,13
2024-03-12 09:08:10,kernelspec,8
2024-03-11 10:51:48,auth_token,0
2024-03-11 10:47:07,load_connection_info,1
2024-03-11 09:59:12,display,4
2024-03-10 16:01:01,logging,1
2024-03-10 02:44:39,powerbi-jupyter-client,12
2024-03-09 15:29:49,zmqsocketchannel,3
2024-03-07 17:19:53,change directory,6
2024-03-07 17:19:33,directory,5
2024-03-07 14:54:06,recv_multipart,0
2024-03-07 14:53:59,send_multipart,0
2024-03-07 13:05:15,localprovisioner,3
2024-03-07 06:24:47,start_message,0
2024-03-06 02:47:12,embed_kernel,0
2024-03-05 11:05:45,jupyter-run,9
2024-03-04 19:02:40,javascript,2
2024-03-03 13:59:02,remote,3
2024-03-03 10:41:54,id(),5
2024-03-03 10:41:47,tracemalloc,0
2024-03-03 10:14:15,tracemalloc,0
2024-03-02 13:21:39,conda env,6
2024-03-02 11:41:51,conda env,6
2024-03-02 06:41:17,ip,6
2024-03-02 06:40:59,host,1
2024-03-02 06:40:55,hostname,0
2024-03-01 23:38:25,time,9
2024-03-01 23:38:11,runtime,4
2024-03-01 20:59:37,javascript,2
2024-03-01 20:51:52,msg_type,2
